FAQID,Question,Answer
1,How do I track my order?,Use the Track Order page with your order ID.
2,Where is my parcel?,Use the Track Order page with your order ID.
3,How do I return my order?,Initiate a return within 7 days from My Orders.
4,Can I cancel my order?,Orders can be cancelled before shipment.
5,How long is delivery?,Delivery usually takes 3-7 business days.
6,Do you offer COD?,"Yes, Cash on Delivery is available for selected locations."
7,How can I contact support?,Email support@example.com or use live chat.
8,Is there a warranty?,Warranty depends on the product and brand.
9,Can I change my address?,You can update the address before shipment.
10,How do I get a refund?,Refunds are processed after successful return inspection.
11,Do you ship internationally?,Currently domestic shipping only.
12,How do I reset my password?,Use the Forgot Password option.
13,Can I exchange a product?,Exchange is available for eligible products.
14,What payment methods are accepted?,"UPI, Cards, Net Banking and COD."
15,How do I download invoice?,Invoices are available in My Orders.
16,Are products genuine?,"Yes, all products are sourced from authorized sellers."
17,How to apply coupon?,Apply the coupon during checkout.
18,How to check stock?,Product pages display stock availability.
19,Can I preorder?,Preorder is available for selected products.
20,How do I delete my account?,Contact customer support.
