ProductID,ProductName,Category,Brand,Price,Description,Rating
1,Lenovo Laptop 1,Laptop,Lenovo,30316,Laptop by Lenovo suitable for everyday use with quality performance.,4.5
2,Lenovo Laptop 2,Laptop,Lenovo,72664,Laptop by Lenovo suitable for everyday use with quality performance.,3.8
3,Lenovo Laptop 3,Laptop,Lenovo,7081,Laptop by Lenovo suitable for everyday use with quality performance.,4.3
4,Lenovo Laptop 4,Laptop,Lenovo,51158,Laptop by Lenovo suitable for everyday use with quality performance.,3.8
5,Lenovo Laptop 5,Laptop,Lenovo,80105,Laptop by Lenovo suitable for everyday use with quality performance.,3.9
6,HP Laptop 1,Laptop,HP,84390,Laptop by HP suitable for everyday use with quality performance.,4.3
7,HP Laptop 2,Laptop,HP,7172,Laptop by HP suitable for everyday use with quality performance.,4.5
8,HP Laptop 3,Laptop,HP,77227,Laptop by HP suitable for everyday use with quality performance.,4.1
9,HP Laptop 4,Laptop,HP,16717,Laptop by HP suitable for everyday use with quality performance.,4.8
10,HP Laptop 5,Laptop,HP,69628,Laptop by HP suitable for everyday use with quality performance.,4.7
11,Dell Laptop 1,Laptop,Dell,80726,Laptop by Dell suitable for everyday use with quality performance.,4.8
12,Dell Laptop 2,Laptop,Dell,34813,Laptop by Dell suitable for everyday use with quality performance.,4.3
13,Dell Laptop 3,Laptop,Dell,11870,Laptop by Dell suitable for everyday use with quality performance.,4.3
14,Dell Laptop 4,Laptop,Dell,56062,Laptop by Dell suitable for everyday use with quality performance.,3.9
15,Dell Laptop 5,Laptop,Dell,86595,Laptop by Dell suitable for everyday use with quality performance.,3.8
16,ASUS Laptop 1,Laptop,ASUS,45174,Laptop by ASUS suitable for everyday use with quality performance.,4.0
17,ASUS Laptop 2,Laptop,ASUS,31592,Laptop by ASUS suitable for everyday use with quality performance.,4.8
18,ASUS Laptop 3,Laptop,ASUS,29108,Laptop by ASUS suitable for everyday use with quality performance.,4.9
19,ASUS Laptop 4,Laptop,ASUS,32527,Laptop by ASUS suitable for everyday use with quality performance.,4.7
20,ASUS Laptop 5,Laptop,ASUS,44272,Laptop by ASUS suitable for everyday use with quality performance.,4.1
21,Acer Laptop 1,Laptop,Acer,59074,Laptop by Acer suitable for everyday use with quality performance.,4.3
22,Acer Laptop 2,Laptop,Acer,80388,Laptop by Acer suitable for everyday use with quality performance.,4.3
23,Acer Laptop 3,Laptop,Acer,4597,Laptop by Acer suitable for everyday use with quality performance.,4.3
24,Acer Laptop 4,Laptop,Acer,19656,Laptop by Acer suitable for everyday use with quality performance.,4.6
25,Acer Laptop 5,Laptop,Acer,54091,Laptop by Acer suitable for everyday use with quality performance.,4.4
26,Samsung Mobile 1,Mobile,Samsung,87658,Mobile by Samsung suitable for everyday use with quality performance.,4.8
27,Samsung Mobile 2,Mobile,Samsung,7276,Mobile by Samsung suitable for everyday use with quality performance.,4.4
28,Samsung Mobile 3,Mobile,Samsung,50477,Mobile by Samsung suitable for everyday use with quality performance.,4.1
29,Samsung Mobile 4,Mobile,Samsung,64063,Mobile by Samsung suitable for everyday use with quality performance.,4.6
30,Samsung Mobile 5,Mobile,Samsung,44620,Mobile by Samsung suitable for everyday use with quality performance.,3.8
31,Apple Mobile 1,Mobile,Apple,69803,Mobile by Apple suitable for everyday use with quality performance.,4.2
32,Apple Mobile 2,Mobile,Apple,40665,Mobile by Apple suitable for everyday use with quality performance.,4.5
33,Apple Mobile 3,Mobile,Apple,37089,Mobile by Apple suitable for everyday use with quality performance.,4.3
34,Apple Mobile 4,Mobile,Apple,63443,Mobile by Apple suitable for everyday use with quality performance.,4.6
35,Apple Mobile 5,Mobile,Apple,47694,Mobile by Apple suitable for everyday use with quality performance.,4.8
36,OnePlus Mobile 1,Mobile,OnePlus,85222,Mobile by OnePlus suitable for everyday use with quality performance.,4.0
37,OnePlus Mobile 2,Mobile,OnePlus,27309,Mobile by OnePlus suitable for everyday use with quality performance.,4.2
38,OnePlus Mobile 3,Mobile,OnePlus,89105,Mobile by OnePlus suitable for everyday use with quality performance.,4.0
39,OnePlus Mobile 4,Mobile,OnePlus,41259,Mobile by OnePlus suitable for everyday use with quality performance.,4.0
40,OnePlus Mobile 5,Mobile,OnePlus,51993,Mobile by OnePlus suitable for everyday use with quality performance.,4.7
41,Xiaomi Mobile 1,Mobile,Xiaomi,54593,Mobile by Xiaomi suitable for everyday use with quality performance.,3.8
42,Xiaomi Mobile 2,Mobile,Xiaomi,70530,Mobile by Xiaomi suitable for everyday use with quality performance.,4.6
43,Xiaomi Mobile 3,Mobile,Xiaomi,72455,Mobile by Xiaomi suitable for everyday use with quality performance.,4.2
44,Xiaomi Mobile 4,Mobile,Xiaomi,55747,Mobile by Xiaomi suitable for everyday use with quality performance.,4.8
45,Xiaomi Mobile 5,Mobile,Xiaomi,13212,Mobile by Xiaomi suitable for everyday use with quality performance.,3.8
